"","play","recognized","accuracy","type","numCharsFound","numCharsCorpus"
"23","Pericles Prince of Tyre","Pericles, Marina, Bawd, Simonides, Lysimachus, Boult, Helicanus, Thaisa, Cerimon, Cleon, Dionyza, Antiochus, Leonine, Second Gentleman, Pandar, Gower, Thaliard, Lychorida, Lord, Knights, All, Diana, Philemon, Second Pirate, Servant",0.543478260869565,"Comedy",25,46
"24","Richard III","Henry VI, Queen Margaret, Queen Elizabeth, Lord Hastings, Lady Anne, First Murderer, Sir William Stanley, Second Murderer, Sir Robert Brakenbury, Lord Grey, Blunt, Page, Sir Thomas Vaughan, Another, All, Sir Walter Herbert",0.275862068965517,"History",16,58
"25","Richard II","King Richard II, Queen, Bushy, Thomas Mowbray, Lord Ross, Lord Marshal, Green, Lord Willoughby, Gardener, Bagot, Lord Fitzwater, Sir Stephen Scroop, Lady, Abbot, Lord, All",0.457142857142857,"History",16,35
"26","Romeo and Juliet","Romeo, Juliet, Nurse, Benvolio, Mercutio, Friar Laurence, Capulet, Lady Capulet, Paris, Sampson, Tybalt, Gregory, Peter, Balthasar, Montague, Servant, Abraham, Friar John, Page, Second Capulet, Lady Montague",0.636363636363636,"Tragedy",21,33
"27","The Comedy of Errors","Adriana, Luciana, Angelo, Solinus, Aegeon, Aemilia, Officer, Luce, Pinch, Balthazar",0.526315789473684,"Comedy",10,19
"28","The Merchant of Venice","Portia, Shylock, Bassanio, Gratiano, Antonio, Lorenzo, Launcelot Gobbo, Nerissa, Salarino, Jessica, Duke, Salanio, Tubal, Servant, Stephano, Clerk, Balthasar",0.739130434782609,"Comedy",17,23
"29","The Merry Wives of Windsor","Falstaff, Robert Shallow, Pistol, Mistress Page, Ford, Sir Hugh Evans, Mistress Ford, Page, Slender, Doctor Caius, Host, Nym, Simple, Fenton, Anne Page, Bardolph, William Page, Rugby, Robin, Servant",0.833333333333333,"Comedy",20,24
"30","The Taming of the Shrew","Petruchio, Tranio, Hortensio, Grumio, Lucentio, Gremio, Biondello, Bianca, Christopher Sly, Vincentio, Pedant, Curtis, Lord, Widow, Third Servant, Nathaniel, Peter, Servant, Philip, Joseph, Nicholas, Servants",0.611111111111111,"Comedy",22,36
"31","The Tempest","Prospero, Sebastian, Stephano, Antonio, Gonzalo, Caliban, Miranda, Ariel, Alonso, Trinculo, Ferdinand, Boatswain, Adrian, Ceres, Juno, Francisco",0.842105263157895,"Comedy",16,19
"32","Timon of Athens","Timon, Apemantus, Flavius, Alcibiades, Poet, Painter, Caphis, Lucilius, Third Lord, Flaminius, Servant, Fool, Servilius, Merchant, Both, First Servant, Hortensius, Lucullus, Philotus, First Bandit, Jeweller, Senator, Second Bandit, Timandra, Ventidius, Soldier, All",0.509433962264151,"Tragedy",27,53
"33","Titus Andronicus","Titus Andronicus, Marcus Andronicus, Aaron, Lucius, Tamora, Saturninus, Demetrius, Chiron, Lavinia, Bassianus, Clown, Quintus, Young Lucius, Nurse, Martius, Publius, All, Mutius, Captain",0.730769230769231,"Tragedy",19,26
"34","Troilus and Cressida","Pandarus, Cressida, Troilus, Thersites, Ulysses, Achilles, Hector, Ajax, Diomedes, Agamemnon, Aeneas, Nestor, Patroclus, Paris, Helen, Servant, Cassandra, Menelaus, Alexander, Andromache, Priam, Calchas, Boy, Margarelon, All, Myrmidons, Helenus",0.931034482758621,"Comedy",27,29
"35","Twelfth Night","Sir Toby Belch, Viola, Olivia, Sir Andrew Aguecheek, Malvolio, Orsino, Maria, Fabian, Sebastian, Antonio, Valentine, Servant",0.666666666666667,"Comedy",12,18
"36","Two Gentlemen of Verona","Valentine, Proteus, Speed, Julia, Launce, Silvia, Lucetta, Thurio, Host, Antonio, Eglamour",0.647058823529412,"Comedy",11,17
"37","Winter's Tale","Leontes, Camillo, Autolycus, Clown, Paulina, Polixenes, Florizel, Hermione, Perdita, Antigonus, Mopsa, Mamillius, Dorcas, Archidamus, Cleomenes, Gaoler, Gentleman, Emilia, Lord, Lords, Time",0.61764705882353,"Comedy",21,34
